Year,coal,nat_gas,distillate,hgl,jet_fuel,motor_gas,residual_fuel_oil,other,petroleum_total,ff_total,nat_gas_w_sup,distillate_fuel_oil_w_biodiesel,motor_gasoline_w_ethanol,nuclear_electric_power,hydro_power,wood_and_waste,fuel_ethanol,biodiesel,losses_co_products,Total,geo_thermal,solar,wind,renewable_otal,net_interstate_flow,electricity_imports,total,,,,,,,
1960,35.9,"1,301.80",155.4,33.9,140.7,719.8,506.6,280.6,"1,836.90","3,174.60","1,301.80",155.4,719.8,0.05,187.7,82.1,0,0,0,82.1,0.4,0,0,270.2,6.5,-1.4,"3,449.90",,,,,,,
1965,63.7,"1,813.20",204.5,42.1,222.2,892.5,438.5,290.1,"2,089.80","3,966.70","1,813.20",204.5,892.5,3.2,319.1,97.5,0,0,0,97.5,2,0,0,418.5,-2.7,0.05,"4,385.70",,,,,,,
1970,61.8,"2,241.30",228.5,57.9,332.9,"1,124.50",442.1,316.6,"2,502.50","4,805.60","2,241.30",228.5,"1,124.50",34.4,399.6,116.8,0,0,0,116.8,5.5,0,0,522,137.2,0.05,"5,499.10",,,,,,,
1971,51,"2,265.30",276,60.1,350.3,"1,151.60",503.4,314,"2,655.40","4,971.70","2,265.30",276,"1,151.60",38.1,408.8,119.2,0,0,0,119.2,5.7,0,0,533.8,204,0.05,"5,747.70",,,,,,,
1972,47.5,"2,303.60",268.5,64.6,355.9,"1,222.70",490.9,331.9,"2,734.50","5,085.50","2,303.60",268.5,"1,222.70",34.3,329.6,127.6,0,0,0,127.6,15.1,0,0,472.3,280,0,"5,872.00",,,,,,,
1973,67,"2,154.00",302.1,69.3,352.5,"1,264.90",708.6,351,"3,048.40","5,269.40","2,154.00",302.1,"1,264.90",28.7,402.6,130.1,0,0,0,130.1,20.4,0,0,553.2,195.8,0.05,"6,047.10",,,,,,,
1974,60.7,"1,937.10",255,73.9,337.6,"1,236.90",622.4,346.6,"2,872.40","4,870.30","1,937.10",255,"1,236.90",41.3,484.7,134.7,0,0,0,134.7,25.6,0,0,645.1,259.7,0,"5,816.30",,,,,,,
1975,56.4,"1,937.30",246.6,69.2,350.7,"1,268.60",698.4,343,"2,976.50","4,970.20","1,937.30",246.6,"1,268.60",66.9,417.3,127.5,0,0,0,127.5,33.8,0,0,578.6,417.2,0,"6,032.80",,,,,,,
1976,66.6,"1,849.70",266.8,68.4,342.1,"1,327.10",868.3,371.8,"3,244.80","5,161.10","1,849.70",266.8,"1,327.10",53.1,240.6,144.8,0,0,0,144.8,37.5,0,0,422.9,549.3,0,"6,186.30",,,,,,,
1977,75.1,"1,864.20",301.5,61.1,354.3,"1,398.80","1,083.90",411.7,"3,611.30","5,550.60","1,864.20",301.5,"1,398.80",87.4,148.7,152,0,0,0,152,37.4,0,0,338.1,385.4,0,"6,361.50",,,,,,,
1978,67.9,"1,646.30",350.7,69.6,362.6,"1,461.30",978.5,431.8,"3,654.40","5,368.60","1,646.30",350.7,"1,461.30",83.8,385.5,160.3,0,0,0,160.3,30.9,0,0,576.6,443.6,0,"6,472.70",,,,,,,
1979,68.6,"1,900.40",389.5,83.9,369.6,"1,415.30",986.9,488.6,"3,734.00","5,702.90","1,900.40",389.5,"1,415.30",95.3,351.2,168.4,0,0,0,168.4,40.3,0,0,559.8,369.6,0,"6,727.60",,,,,,,
1980,66.2,"1,890.90",362.8,69.7,354.2,"1,332.10",934.9,423.6,"3,477.30","5,434.30","1,890.90",362.8,"1,332.10",53.7,423.6,115.6,0,0,0,115.6,52.7,0,0,591.9,460.2,0.3,"6,540.50",,,,,,,
1981,78.4,"1,947.40",393.3,61.8,331.3,"1,328.60",821.5,274.4,"3,210.90","5,236.70","1,947.40",393.3,"1,328.60",35.4,311.1,131.7,1.4,0,0,133.1,59.4,0,0,503.7,556.5,0.05,"6,332.20",,,,,,,
1982,69.4,"1,765.20",391.8,58.5,316.7,"1,312.80",513.4,281,"2,874.20","4,708.70","1,765.20",391.8,"1,312.80",41.4,525.1,123.3,3.8,0,0,127.1,50.6,0,0,702.8,623.1,0.05,"6,076.10",,,,,,,
1983,32,"1,601.00",396.6,58.7,321.5,"1,345.50",430.8,425.9,"2,979.00","4,612.10","1,601.00",396.6,"1,345.50",61.2,598.4,144.8,3.9,0,0,148.6,63.9,0,0.05,811,607.9,0.1,"6,092.30",,,,,,,
1984,37.2,"1,739.80",439.3,73.5,373.5,"1,393.00",481.2,452.4,"3,213.00","4,990.10","1,739.80",439.3,"1,393.00",153.4,450.6,162.7,3.1,0,0,165.9,80.2,0.1,0.05,696.7,692.8,0.2,"6,533.20",,,,,,,
1985,45.3,"1,925.50",416.7,73.3,375.8,"1,404.50",419.5,435.6,"3,125.40","5,096.10","1,925.50",416.7,"1,404.50",209.6,331.3,165.3,1.5,0,0.3,167.1,96.1,0.1,0.05,594.7,687.3,13.8,"6,601.50",,,,,,,
1986,42.5,"1,591.00",434.9,72.1,422.1,"1,468.60",364.9,423.9,"3,186.60","4,820.10","1,591.00",434.9,"1,468.60",277.3,433.1,127.4,1.4,0,0.3,129.1,105.7,0.1,0.05,668.1,722.7,12.9,"6,501.10",,,,,,,
1987,45,"1,993.00",398.4,80.7,448.8,"1,538.60",419,434.3,"3,319.80","5,357.70","1,993.00",398.4,"1,538.60",317.3,255.9,155.5,2.1,0,0.3,157.9,110.4,0.1,0.05,524.4,712.6,26.4,"6,938.50",,,,,,,
1988,50.8,"1,860.40",477.4,82.4,464.2,"1,594.90",433.3,463.3,"3,515.50","5,426.70","1,860.40",477.4,"1,594.90",327.2,242.3,164.6,4.1,0,0.3,169,104.4,0.1,0.05,515.9,849.1,24.9,"7,143.80",,,,,,,
1989,66.4,"2,047.80",469,90,507.8,"1,633.30",422.6,445.2,"3,567.70","5,682.00","2,047.80",469,"1,633.30",344.1,321.3,231.9,3.7,0,0.3,235.9,143.7,19.7,21.7,742.3,637.5,14.4,"7,420.30",,,,,,,
1990,84.2,"2,101.60",449.9,72,534.7,"1,607.30",403,438.8,"3,505.60","5,691.30","2,101.60",449.9,"1,607.30",346,247.5,218.4,3.9,0,0.2,222.6,152.1,22.1,28.7,673,713.3,15.8,"7,439.40",,,,,,,
1991,89.5,"2,208.30",436,67.5,508.1,"1,569.10",284.9,389.2,"3,254.80","5,552.60","2,208.30",436,"1,569.10",330.7,229.1,214,4.9,0,0.3,219.2,155.5,23.8,30.4,658.1,774.8,10.2,"7,326.40",,,,,,,
1992,91.5,"2,294.10",403,75.3,489.5,"1,658.10",215.7,404.1,"3,245.80","5,631.50","2,294.10",403,"1,658.10",369,208.6,225.7,0.5,0,0.3,226.6,154.1,23.6,29.6,642.5,657.6,7.1,"7,307.70",,,,,,,
1993,84.7,"2,213.10",378.5,59.8,504.7,"1,608.60",233.7,370.3,"3,155.60","5,453.40","2,213.10",378.5,"1,610.60",331.7,417.4,191.7,2,0,0.3,194,155.6,24.6,30.8,822.4,524.1,6.7,"7,138.30",,,,,,,
1994,84.6,"2,334.80",421.3,65.4,560.1,"1,601.30",263.6,393,"3,304.80","5,724.20","2,334.80",421.3,"1,604.10",352.8,237.4,192.7,2.8,0,0.3,195.9,142.6,25.2,34.9,636,553.1,7,"7,273.00",,,,,,,
1995,84.3,"2,110.00",425.2,53.6,540.4,"1,622.50",290.8,380.7,"3,313.10","5,507.40","2,110.00",425.2,"1,631.30",317.8,495.3,172.9,8.8,0,0.3,182,120.1,25.4,31.8,854.6,610,5.9,"7,295.60",,,,,,,
1996,80.3,"2,017.70",428.8,39.6,588.4,"1,651.10",253.3,419.1,"3,380.20","5,478.20","2,017.70",428.8,"1,658.40",358.1,462.7,167.6,7.4,0,0.1,175.1,129.7,25.6,31.8,825,739.9,4.2,"7,405.40",,,,,,,
1997,82.7,"2,185.00",463.4,32.4,585.1,"1,673.10",134.7,403.5,"3,292.20","5,559.90","2,185.00",463.4,"1,680.50",320.2,419.3,151.2,7.4,0,0.2,158.9,132.2,25,32,767.4,876.3,4.5,"7,528.30",,,,,,,
1998,66.2,"2,418.70",456.9,40.8,598.1,"1,711.10",108.1,400.3,"3,315.40","5,800.20","2,418.70",456.9,"1,716.70",362.9,505.2,141.1,5.6,0,0.3,146.9,133.4,24.5,28.1,838.2,807.1,-2.1,"7,806.40",,,,,,,
1999,69.5,"2,379.60",481.5,44.7,559.5,"1,752.30",149.6,436.1,"3,423.80","5,872.90","2,379.60",481.5,"1,757.20",348.7,416.6,150.6,4.8,0,0.2,155.7,135.3,24,33,764.6,815.1,0.6,"7,801.90",,,,,,,
2000,70,"2,456.40",543.8,45.7,584,"1,777.90",212.1,407.9,"3,571.50","6,097.90","2,456.40",543.8,"1,783.40",366.8,391,158.3,5.5,0,0.3,164.1,127.6,23.1,35.9,741.8,675.2,11.5,"7,893.30",,,,,,,
2001,67.8,"2,513.90",566.6,39.8,551.2,"1,823.00",160.1,444.9,"3,585.70","6,167.40","2,513.90",566.6,"1,830.70",346.9,263.9,156.1,7.6,0.05,0.3,164.1,128.1,23,36.2,615.3,778.5,10.4,"7,918.60",,,,,,,
2002,70,"2,318.70",521.3,52.7,582.6,"1,912.40",193.4,442,"3,704.40","6,093.00","2,318.70",521.3,"1,921.40",358.7,316.8,162.1,9,0.05,0.4,171.5,135.2,22.5,38.7,684.7,820.5,6.4,"7,963.30",,,,,,,
2003,69.5,"2,317.10",480.3,53.8,565.4,"1,860.80",147.2,412.5,"3,520.10","5,906.60","2,317.10",480.3,"1,910.80",371,368.3,155.3,50,0.05,0.5,205.8,133.3,21.9,39.4,768.8,788.1,14.1,"7,848.50",,,,,,,
2004,68.9,"2,462.20",547,55,597.7,"1,881.90",174.7,414.5,"3,670.80","6,201.90","2,462.20",547,"1,954.10",315.6,342,155.8,72.2,0.05,0.5,228.4,133.2,22.3,43.1,769.1,925.9,4.2,"8,216.80",,,,,,,
2005,67.4,"2,304.50",563.8,46.8,593.1,"1,900.20",213.4,423.8,"3,741.10","6,113.00","2,304.50",563.8,"1,979.70",377.3,396.3,145.6,79.5,0.2,0.9,226.2,132.4,22.3,42.6,819.7,822.9,18.9,"8,151.80",,,,,,,
2006,67,"2,375.90",576.3,45.2,603.3,"1,908.20",237.2,416.4,"3,786.50","6,229.50","2,375.90",576.3,"1,986.80",333.5,476.6,138.8,78.6,0.5,2.3,220.1,129.3,23.5,48.4,898,778,8.1,"8,247.00",,,,,,,
2007,66.5,"2,467.50",572.8,43.3,628.2,"1,875.50",249.5,425.9,"3,795.10","6,329.10","2,467.50",572.8,"1,958.00",375.4,270.1,137.8,82.5,0.6,5.1,226,130.6,26.1,55.2,708,829.6,18.8,"8,261.00",,,,,,,
2008,63.1,"2,472.60",522.5,60.9,571.7,"1,776.90",255.3,366.3,"3,553.50","6,089.20","2,472.60",522.5,"1,861.00",339.5,237.8,140.8,84.1,0.5,5.3,230.8,129.1,30.4,53.1,681.2,949.7,16,"8,075.60",,,,,,,
2009,52.4,"2,391.40",506.3,61,555.6,"1,732.80",242.3,311.7,"3,409.70","5,853.50","2,391.40",506.8,"1,815.70",332.2,272.2,152,82.8,0.6,2.7,238.2,127.5,31.8,57,726.6,854.3,8.6,"7,775.30",,,,,,,
2010,55,"2,325.40",528.1,63.4,435.2,"1,672.30",251,301.1,"3,251.00","5,631.40","2,325.40",528.5,"1,799.70",336.6,326.2,159.4,127.3,0.5,3.3,290.5,125,36.7,59.3,837.6,835.7,10.5,"7,651.80",,,,,,,
2011,55.3,"2,196.30",538.6,63.4,433.2,"1,626.30",186.9,332.5,"3,181.00","5,432.50","2,196.30",540.2,"1,750.20",383.6,413.5,157.8,123.9,1.6,8.4,291.6,124.1,42.6,75.3,947.2,868.3,20.1,"7,651.70",,,,,,,
2012,43.8,"2,456.40",515.4,55.5,435.3,"1,611.60",167.1,300.4,"3,085.30","5,585.50","2,456.40",518,"1,731.60",193.9,255.4,156.1,120,2.5,8.1,286.7,121.3,55.1,92.8,811.3,826.4,29.4,"7,446.40",,,,,,,
2013,38.2,"2,480.80",525.1,54.9,446.2,"1,629.40",124.2,324.7,"3,104.50","5,623.40","2,480.80",532.7,"1,753.20",187.2,226.6,165.6,123.8,7.6,8,305.1,119.6,85,122.3,858.6,825.8,37.4,"7,532.40",,,,,,,
2014,39.5,"2,409.60",551.4,53.6,456,"1,632.70",84.5,312.5,"3,090.70","5,539.80","2,409.60",559.9,"1,758.00",177.7,157.2,166.8,125.3,8.5,10.2,310.8,117.2,156.5,123.6,865.3,821.2,42,"7,446.00",,,,,,,
2015,31,"2,384.10",550,53.6,491.6,"1,681.40",116.7,308.5,"3,201.70","5,616.80","2,384.10",566.1,"1,811.00",193.5,128.7,139.6,129.6,16.1,10.5,295.7,112.9,211.8,114,863.1,805.6,46.5,"7,525.50",,,,,,,
2016,32.1,"2,248.90",538.6,57.8,532.3,"1,713.00",145.8,329.5,"3,316.90","5,597.90","2,248.90",559.4,"1,844.20",197.8,267.2,129.6,131.3,20.8,10.6,292.3,107.9,267.5,124.7,"1,059.60",740.1,52.5,"7,648.00",,,,,,,
2017,33.7,"2,191.00",555.6,55.7,565.7,"1,720.80",165,329.8,"3,392.60","5,617.30","2,191.00",577.3,"1,853.50",187.2,390.3,130.5,132.7,21.7,11.3,296.3,108.6,340.4,118.1,"1,253.70",659.4,48.6,"7,766.20",,,,,,,
2018,33.3,"2,209.80",552.2,58.4,576.4,"1,716.30",168.9,333.9,"3,406.10","5,649.10","2,209.80",575.7,"1,847.80",190.4,239.7,133.4,131.5,23.5,11.6,300,108.4,381.6,127.7,"1,157.40",865.7,2.5,"7,865.20",,,,,,,
2019,30.9,"2,218.70",539.7,61.5,587.1,"1,688.10",184.4,324.7,"3,385.60","5,635.20","2,218.70",566.7,"1,819.90",168.8,341.5,139.3,131.8,27,10.3,308.5,99.3,405.7,122.3,"1,277.30",692.7,16.1,"7,790.10",,,,,,,
2020,28,"2,144.00",494,58.2,337,"1,357.80",126.1,299.8,"2,672.90","4,844.90","2,144.00",528,"1,464.70",169.8,187.5,148.3,106.9,34,6,295.2,101.9,436.7,119.2,"1,140.50",756.5,11,"6,922.80",,,,,,,
